20 de Junio,
20 de Noviembre,
6 de Enero,
Ampliación Cojinillo,
Ampliación PEMEX,
Arroyo Hondo,
Barrio de Torreón,
Benito Juárez,
Bicentenario,
Casa Blanca,
Cazadero,
Cochindi,
Centro,
Cojinillo,
Cuauhtémoc,
Del Valle,
El Amate,
El Cimarrón,
El Contento,
El Manantial,
El Mango,
El Mirador,
El Nanche,
El Porvenir,
Estanzuela,
Francisco González,
Ideal de Abajo,
Ideal de Arriba,
Infonavit,
Infonavit Quechuleño,
Infonavit Quechuleño II,
Jesús García Coronado,
Joachín,
José Fuentes Pantoja,
José María Morelos,
Joya de la Pita,
Juárez,
La Amapola,
La Arenera,
La Campana,
La Candelaria,
La Herradura,
Las Colmenas,
Las Conchas,
Las Flores,
Las Prietas,
Lázaro Cárdenas,
Loma de la Villa,
Loma de los Pichones,
Loma del Carmen,
Lomas de Guadalupe,
Lomas de Sotelo,
Lomas de Tierra Blanca,
Lomas del Jazmín,
Lomas Verdes,
Los Cerritos,
Los Chilangos,
Luis Echeverría Álvarez,
Miraflores,
Morelos,
Moreno,
Nueva,
Nuevo Arroyo Tambor,
Nuevo Laguna Escondida,
Nuevo Masamila (Los Caños),
Nuevo Porvenir de Hidalgo,
Nuevo Zapata,
Obrera,
Otapa,
Palma Sola,
Palmerinda,
Paso Bobo,
Paso Coyote,
Paso de la Palma,
Paso Hachote,
Paso Julián,
Plan de Villa,
Primero de Mayo,
Puerta Negra,
Quechuleño,
Roma,
Rueda,
San Bernardo (Km 89),
San Francisco (Piedra Gorda),
San Rosendo,
San Salvador,
Santa Elena,
Santa Lucía,
Santa Lucrecia,
Santa Rosa,
Segundo Verde,
Serenilla de Abajo,
Terraplén,
Tierra Adentro,
Tierra Blanca El Viejo,
Unidad Deportiva,
Ursulo Galván (Las Charcas),
Vega de Palmas,
Vicente Guerrero,
Villas de Tierra Blanca,